"","Job Title","Title","SOC","Alternate Title","A_PCT25","A_MEDIAN","A_PCT75"
"1","Researcher","Industrial Ecologists","19-2041","Researcher","53580","71130","94590"
"2","Researcher","Anthropologists","19-3091","Researcher","48020","62410","80230"
"3","Researcher","Historians","19-3093","Researcher","40670","61140","85700"
"4","Researcher","Biofuels/Biodiesel Technology and Product Development Managers","11-9041","Scientist","112400","140760","173180"
"5","Researcher","Mathematicians","15-2021","Scientist","73490","101900","126070"
"6","Researcher","Chemical Engineers","17-2041","Scientist","81900","104910","133320"
"7","Researcher","Nanosystems Engineers","17-2199","Scientist","69890","96980","126200"
"8","Researcher","Manufacturing Engineering Technologists","17-3029","Scientist","47500","63200","80670"
"9","Researcher","Biologists","19-1020","Scientist","56730","77550","103540"
"10","Researcher","Biochemists and Biophysicists","19-1021","Scientist","64230","93280","129950"
"11","Researcher","Bioinformatics Scientists","19-1029","Scientist","60250","79590","98040"
"12","Researcher","Medical Scientists, Except Epidemiologists","19-1042","Scientist","59580","84810","118040"
"13","Researcher","Chemists","19-2031","Scientist","56290","76890","103820"
"14","Researcher","Hydrologists","19-2043","Scientist","61280","79370","100090"
"15","Researcher","Remote Sensing Scientists and Technologists","19-2099","Scientist","75830","107230","136930"
"16","Researcher","Geographers","19-3092","Scientist","63270","80300","96980"
"17","Data Librarian","Librarians","25-4021",NA,"46130","59050","74740"
"18","Data Librarian","Library Science Teachers, Postsecondary","25-1082","Librarian","56550","71560","90550"
"19","Data Librarian","Archivists","25-4011","Librarian","38090","52240","71250"
"20","Metadata Librarian","Librarians","25-4021",NA,"46130","59050","74740"
"21","Metadata Librarian","Library Science Teachers, Postsecondary","25-1082","Librarian","56550","71560","90550"
"22","Metadata Librarian","Archivists","25-4011","Librarian","38090","52240","71250"
"23","Records Management Specialist","Librarians","25-4021",NA,"46130","59050","74740"
"24","Records Management Specialist","Library Science Teachers, Postsecondary","25-1082","Librarian","56550","71560","90550"
"25","Records Management Specialist","Archivists","25-4011","Librarian","38090","52240","71250"
"26","Curator","Curators","25-4012",NA,"39580","53780","72830"
"27","Curator","Archivists","25-4011",NA,"38090","52240","71250"
"28","Curator","Archeologists","19-3091","Curator","48020","62410","80230"
"29","Research Domain Curator","Biofuels/Biodiesel Technology and Product Development Managers","11-9041","Scientist","112400","140760","173180"
"30","Research Domain Curator","Mathematicians","15-2021","Scientist","73490","101900","126070"
"31","Research Domain Curator","Chemical Engineers","17-2041","Scientist","81900","104910","133320"
"32","Research Domain Curator","Nanosystems Engineers","17-2199","Scientist","69890","96980","126200"
"33","Research Domain Curator","Manufacturing Engineering Technologists","17-3029","Scientist","47500","63200","80670"
"34","Research Domain Curator","Biologists","19-1020","Scientist","56730","77550","103540"
"35","Research Domain Curator","Biochemists and Biophysicists","19-1021","Scientist","64230","93280","129950"
"36","Research Domain Curator","Bioinformatics Scientists","19-1029","Scientist","60250","79590","98040"
"37","Research Domain Curator","Medical Scientists, Except Epidemiologists","19-1042","Scientist","59580","84810","118040"
"38","Research Domain Curator","Chemists","19-2031","Scientist","56290","76890","103820"
"39","Research Domain Curator","Climate Change Analysts","19-2041","Scientist","53580","71130","94590"
"40","Research Domain Curator","Hydrologists","19-2043","Scientist","61280","79370","100090"
"41","Research Domain Curator","Remote Sensing Scientists and Technologists","19-2099","Scientist","75830","107230","136930"
"42","Research Domain Curator","Anthropologists","19-3091","Scientist","48020","62410","80230"
"43","Research Domain Curator","Geographers","19-3092","Scientist","63270","80300","96980"
"44","Research Domain Project Manager","Biofuels/Biodiesel Technology and Product Development Managers","11-9041","Scientist","112400","140760","173180"
"45","Research Domain Project Manager","Mathematicians","15-2021","Scientist","73490","101900","126070"
"46","Research Domain Project Manager","Chemical Engineers","17-2041","Scientist","81900","104910","133320"
"47","Research Domain Project Manager","Nanosystems Engineers","17-2199","Scientist","69890","96980","126200"
"48","Research Domain Project Manager","Manufacturing Engineering Technologists","17-3029","Scientist","47500","63200","80670"
"49","Research Domain Project Manager","Biologists","19-1020","Scientist","56730","77550","103540"
"50","Research Domain Project Manager","Biochemists and Biophysicists","19-1021","Scientist","64230","93280","129950"
"51","Research Domain Project Manager","Bioinformatics Scientists","19-1029","Scientist","60250","79590","98040"
"52","Research Domain Project Manager","Medical Scientists, Except Epidemiologists","19-1042","Scientist","59580","84810","118040"
"53","Research Domain Project Manager","Chemists","19-2031","Scientist","56290","76890","103820"
"54","Research Domain Project Manager","Climate Change Analysts","19-2041","Scientist","53580","71130","94590"
"55","Research Domain Project Manager","Hydrologists","19-2043","Scientist","61280","79370","100090"
"56","Research Domain Project Manager","Remote Sensing Scientists and Technologists","19-2099","Scientist","75830","107230","136930"
"57","Research Domain Project Manager","Anthropologists","19-3091","Scientist","48020","62410","80230"
"58","Research Domain Project Manager","Geographers","19-3092","Scientist","63270","80300","96980"
"59","Informatician","Computer Systems Analysts","15-1121",NA,"68730","88740","113460"
"60","Informatician","Information Technology Project Managers","15-1199","IT Specialist","66410","90270","117070"
"61","Data Wrangler","Information Technology Project Managers","15-1199","IT Specialist","66410","90270","117070"
"62","Education Specialist","Health Educators","21-1091","Education Specialist","39800","54220","74660"
"63","Education Specialist","Special Education Teachers, Secondary School","25-2054","Education Specialist","48630","60600","77820"
"64","Education Specialist","Instructional Coordinators","25-9031","Education Specialist","49280","64450","82860"
"65","Communication Specialist","Public Relations Specialists","27-3031","Communication Specialist","44490","60000","81550"
"66","Software Engineer","Computer and Information Research Scientists","15-1111","Software Engineer","91650","118370","149470"
"67","Software Engineer","Software Developers, Applications","15-1132","Software Engineer","79340","103620","130460"
"68","Software Engineer","Software Developers, Systems Software","15-1133","Software Engineer","85610","110000","139550"
"69","IT Security Specialist","Security Management Specialists","13-1199",NA,"52200","70530","94890"
"70","IT Systems Engineer","Computer and Information Systems Managers","11-3021",NA,"110110","142530","180190"
"71","IT Systems Engineer","Information Technology Project Managers","15-1199","IT Specialist","66410","90270","117070"
"72","IT Project Manager","Computer and Information Systems Managers","11-3021",NA,"110110","142530","180190"
"73","IT Project Manager","Information Technology Project Managers","15-1199","IS/IT Project Manager","66410","90270","117070"
"74","Project Manager","Construction Managers","11-9021","Project Manager","70670","93370","123720"
"75","Project Manager","Architectural and Engineering Managers","11-9041","Project Manager","112400","140760","173180"
"76","Project Manager","Managers, All Other","11-9199","Project Manager","75460","107480","143230"
"77","Project Manager","Information Technology Project Managers","15-1199","Project Manager","66410","90270","117070"
"78","Project Manager","Environmental Engineers","17-2081","Project Manager","66590","87620","112230"
"79","Project Manager","Wind Energy Engineers","17-2199","Project Manager","69890","96980","126200"
"80","Project Manager","Environmental Restoration Planners","19-2041","Project Manager","53580","71130","94590"
"81","Project Manager","Social Science Research Assistants","19-4061","Project Manager","35450","46640","60830"
"82","Project Manager","Remote Sensing Technicians","19-4099","Project Manager","37940","49670","63340"
"83","Project Manager","Technical Directors/Managers","27-2012","Project Manager","48520","71680","110350"
"84","Project Manager","Intelligence Analysts","33-3021","Project Manager","57560","81920","107000"
"85","Senior Staff",NA,NA,NA,NA,NA,NA
"86","Policy Specialist",NA,NA,NA,NA,NA,NA
"87","Administrative Staff","First-Line Supervisors of Office and Administrative Support Workers","43-1011",NA,"42750","55810","71550"
"88","Administrative Staff","Executive Secretaries and Executive Administrative Assistants","43-6011",NA,"46530","59340","74460"
"89","Administrative Staff","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","43-6014",NA,"28930","36630","46230"
"90","Administrative Staff","Business Operations Specialists, All Other","13-1199","Administrative Assistant","52200","70530","94890"
"91","Administrative Staff","Billing and Posting Clerks","43-3021","Administrative Assistant","31870","37800","46350"
"92","Administrative Staff","New Accounts Clerks","43-4141","Administrative Assistant","30300","35800","42050"
"93","Administrative Staff","Medical Secretaries","43-6013","Administrative Assistant","29580","35760","43200"
"94","Facilities Manager","General and Operations Managers","11-1021","Facilities Manager","65650","100930","157120"
"95","Facilities Manager","Administrative Services Managers","11-3011","Facilities Manager","71850","96180","127100"
"96","Facilities Manager","Property, Real Estate, and Community Association Managers","11-9141","Facilities Manager","41210","58340","85120"
"97","Facilities Manager","First-Line Supervisors of Housekeeping and Janitorial Workers","37-1011","Facilities Manager","31020","39940","52280"
"98","Facilities Manager","First-Line Supervisors of Office and Administrative Support Workers","43-1011","Facilities Manager","42750","55810","71550"
"99","Facilities Manager","First-Line Supervisors of Mechanics, Installers, and Repairers","49-1011","Facilities Manager","51430","66140","83980"
